pid,brand,product,price,standard drinks,standard drinks estimate,price per sd
106302,Jack Daniel's,Whiskey & No Sugar Cola Cans 10 Pack 375mL,99.9,28.0,284.2,3.57
280989,Smirnoff,Ice Double Black Premium Serve 8% Cans 250mL,28.99,6.4,6.32,4.53
280989,Smirnoff,Ice Double Black Premium Serve 8% Cans 250mL,169.99,38.4,37.89,4.43
911667,Melbourne Martini,Pornstar Martini Cans 120mL,30.99,4.2,4.17,7.38
911667,Melbourne Martini,Pornstar Martini Cans 120mL,169.99,25.2,25.01,6.75
95736,Nelson County,Bourbon & Cola 9% 200mL,20.0,5.6,5.68,3.57
95736,Nelson County,Bourbon & Cola 9% 200mL,118.99,33.6,34.1,3.54
189577,Billson's,Vodka & Fruit Tangle Cans 355mL,20.0,4.0,3.92,5.0
189577,Billson's,Vodka & Fruit Tangle Cans 355mL,129.99,24.0,23.54,5.42
63548,Brookvale Union,Vodka & Peach Iced Tea Cans 330mL,30.0,6.0,6.25,5.0
63548,Brookvale Union,Vodka & Peach Iced Tea Cans 330mL,111.99,24.0,25.01,4.67
6003614,Rainbird,H2coco Coconut Water Vodka & Pineapple 4% Cans 330mL,23.99,4.0,4.17,6.0
